Entity,Code,Day,Monthly concentration of atmospheric methane,Rolling yearly average of the concentration of atmospheric methane
World,OWID_WRL,1983-07-15,1625.98,
World,OWID_WRL,1983-08-15,1628.04,
World,OWID_WRL,1983-09-15,1638.43,
World,OWID_WRL,1983-10-15,1644.82,
World,OWID_WRL,1983-11-15,1642.58,
World,OWID_WRL,1983-12-15,1639.54,
World,OWID_WRL,1984-01-15,1638.8,
World,OWID_WRL,1984-02-15,1638.84,
World,OWID_WRL,1984-03-15,1640.87,
World,OWID_WRL,1984-04-15,1643.98,
World,OWID_WRL,1984-05-15,1643.13,
World,OWID_WRL,1984-06-15,1639.74,1638.7291
World,OWID_WRL,1984-07-15,1638,1639.7308
World,OWID_WRL,1984-08-15,1641.66,1640.8658
World,OWID_WRL,1984-09-15,1650.61,1641.8809
World,OWID_WRL,1984-10-15,1654.62,1642.6975
World,OWID_WRL,1984-11-15,1653.78,1643.6309
World,OWID_WRL,1984-12-15,1656.21,1645.02
World,OWID_WRL,1985-01-15,1655.62,1646.4216
World,OWID_WRL,1985-02-15,1652.23,1647.5375
World,OWID_WRL,1985-03-15,1654.6,1648.6816
World,OWID_WRL,1985-04-15,1658.21,1649.8674
World,OWID_WRL,1985-05-15,1655.86,1650.9283
World,OWID_WRL,1985-06-15,1650.05,1651.7875
World,OWID_WRL,1985-07-15,1646.82,1652.5225
World,OWID_WRL,1985-08-15,1652.22,1653.4025
World,OWID_WRL,1985-09-15,1662.49,1654.3925
World,OWID_WRL,1985-10-15,1667.52,1655.4675
World,OWID_WRL,1985-11-15,1666.79,1656.5516
World,OWID_WRL,1985-12-15,1666.05,1657.3717
World,OWID_WRL,1986-01-15,1666.3,1658.2617
World,OWID_WRL,1986-02-15,1666.91,1659.485
World,OWID_WRL,1986-03-15,1669.26,1660.7067
World,OWID_WRL,1986-04-15,1670.82,1661.7576
World,OWID_WRL,1986-05-15,1668.43,1662.805
World,OWID_WRL,1986-06-15,1664.77,1664.0317
World,OWID_WRL,1986-07-15,1662.34,1665.325
World,OWID_WRL,1986-08-15,1664.36,1666.3367
World,OWID_WRL,1986-09-15,1672.58,1667.1775
World,OWID_WRL,1986-10-15,1678.7,1668.1091
World,OWID_WRL,1986-11-15,1678.97,1669.1241
World,OWID_WRL,1986-12-15,1679.11,1670.2125
World,OWID_WRL,1987-01-15,1679.4,1671.3042
World,OWID_WRL,1987-02-15,1679.02,1672.3134
World,OWID_WRL,1987-03-15,1680.06,1673.2134
World,OWID_WRL,1987-04-15,1681.38,1674.0934
World,OWID_WRL,1987-05-15,1681.83,1675.21
World,OWID_WRL,1987-06-15,1679.99,1676.4783
World,OWID_WRL,1987-07-15,1675.98,1677.615
World,OWID_WRL,1987-08-15,1677.14,1678.6799
World,OWID_WRL,1987-09-15,1685.59,1679.7642
World,OWID_WRL,1987-10-15,1691.59,1680.8384
World,OWID_WRL,1987-11-15,1691.15,1681.8533
World,OWID_WRL,1987-12-15,1690.49,1682.8016
World,OWID_WRL,1988-01-15,1692.08,1683.8583
World,OWID_WRL,1988-02-15,1692.68,1684.9967
World,OWID_WRL,1988-03-15,1691.4,1685.9417
World,OWID_WRL,1988-04-15,1690.12,1686.67
World,OWID_WRL,1988-05-15,1689.07,1687.2733
World,OWID_WRL,1988-06-15,1687.06,1687.8625
World,OWID_WRL,1988-07-15,1685.8,1688.6808
World,OWID_WRL,1988-08-15,1689.11,1689.6783
World,OWID_WRL,1988-09-15,1695.88,1690.5359
World,OWID_WRL,1988-10-15,1701.09,1691.3275
World,OWID_WRL,1988-11-15,1702.88,1692.305
World,OWID_WRL,1988-12-15,1702,1693.2642
World,OWID_WRL,1989-01-15,1700.58,1693.9725
World,OWID_WRL,1989-02-15,1701.06,1694.6709
World,OWID_WRL,1989-03-15,1702.46,1695.5925
World,OWID_WRL,1989-04-15,1703.6,1696.7158
World,OWID_WRL,1989-05-15,1703.36,1697.9066
World,OWID_WRL,1989-06-15,1700.2,1699.0017
World,OWID_WRL,1989-07-15,1698.21,1700.0358
World,OWID_WRL,1989-08-15,1701.97,1701.1074
World,OWID_WRL,1989-09-15,1707.18,1702.0492
World,OWID_WRL,1989-10-15,1710.54,1702.8367
World,OWID_WRL,1989-11-15,1713.1,1703.6884
World,OWID_WRL,1989-12-15,1713.21,1704.6224
World,OWID_WRL,1990-01-15,1712.13,1705.585
World,OWID_WRL,1990-02-15,1713.5,1706.6217
World,OWID_WRL,1990-03-15,1714.38,1707.615
World,OWID_WRL,1990-04-15,1712.53,1708.3591
World,OWID_WRL,1990-05-15,1710.55,1708.9584
World,OWID_WRL,1990-06-15,1708.32,1709.635
World,OWID_WRL,1990-07-15,1706.41,1710.3184
World,OWID_WRL,1990-08-15,1710.09,1710.995
World,OWID_WRL,1990-09-15,1717.57,1711.8608
World,OWID_WRL,1990-10-15,1722.08,1712.8225
World,OWID_WRL,1990-11-15,1723.5,1713.6892
World,OWID_WRL,1990-12-15,1723.3,1714.53
World,OWID_WRL,1991-01-15,1721.55,1715.315
World,OWID_WRL,1991-02-15,1721.17,1715.9542
World,OWID_WRL,1991-03-15,1722.09,1716.5967
World,OWID_WRL,1991-04-15,1722.52,1717.4292
World,OWID_WRL,1991-05-15,1722.19,1718.3992
World,OWID_WRL,1991-06-15,1718.98,1719.2875
World,OWID_WRL,1991-07-15,1716.06,1720.0917
World,OWID_WRL,1991-08-15,1719.22,1720.8525
World,OWID_WRL,1991-09-15,1726.2,1721.5717
World,OWID_WRL,1991-10-15,1732.8,1722.465
World,OWID_WRL,1991-11-15,1737.46,1723.6283
World,OWID_WRL,1991-12-15,1739.61,1724.9875
World,OWID_WRL,1992-01-15,1738.97,1726.4392
World,OWID_WRL,1992-02-15,1737.39,1727.7908
World,OWID_WRL,1992-03-15,1736.93,1729.0275
World,OWID_WRL,1992-04-15,1736.65,1730.205
World,OWID_WRL,1992-05-15,1734.93,1731.2667
World,OWID_WRL,1992-06-15,1731.55,1732.3142
World,OWID_WRL,1992-07-15,1728.81,1733.3767
World,OWID_WRL,1992-08-15,1730.29,1734.2992
World,OWID_WRL,1992-09-15,1734.59,1734.9983
World,OWID_WRL,1992-10-15,1737.68,1735.405
World,OWID_WRL,1992-11-15,1739.21,1735.5509
World,OWID_WRL,1992-12-15,1738.54,1735.4617
World,OWID_WRL,1993-01-15,1735.77,1735.1951
World,OWID_WRL,1993-02-15,1734.38,1734.9442
World,OWID_WRL,1993-03-15,1735.51,1734.8258
World,OWID_WRL,1993-04-15,1736.7,1734.8301
World,OWID_WRL,1993-05-15,1734.96,1734.8325
World,OWID_WRL,1993-06-15,1730.84,1734.7733
World,OWID_WRL,1993-07-15,1728.07,1734.7117
World,OWID_WRL,1993-08-15,1731.2,1734.7875
World,OWID_WRL,1993-09-15,1738.47,1735.1108
World,OWID_WRL,1993-10-15,1743.37,1735.585
World,OWID_WRL,1993-11-15,1745.17,1736.0817
World,OWID_WRL,1993-12-15,1744.27,1736.5592
World,OWID_WRL,1994-01-15,1741.44,1737.0316
World,OWID_WRL,1994-02-15,1740.87,1737.5725
World,OWID_WRL,1994-03-15,1741.94,1738.1083
World,OWID_WRL,1994-04-15,1741.95,1738.5458
World,OWID_WRL,1994-05-15,1740.63,1739.0183
World,OWID_WRL,1994-06-15,1736.9,1739.5233
World,OWID_WRL,1994-07-15,1732.43,1739.8867
World,OWID_WRL,1994-08-15,1734.08,1740.1267
World,OWID_WRL,1994-09-15,1742.95,1740.5
World,OWID_WRL,1994-10-15,1749.85,1741.04
World,OWID_WRL,1994-11-15,1751.24,1741.5458
World,OWID_WRL,1994-12-15,1751.59,1742.1558
World,OWID_WRL,1995-01-15,1751.14,1742.9641
World,OWID_WRL,1995-02-15,1749.49,1743.6825
World,OWID_WRL,1995-03-15,1748.99,1744.27
World,OWID_WRL,1995-04-15,1749.44,1744.8942
World,OWID_WRL,1995-05-15,1747.64,1745.4783
World,OWID_WRL,1995-06-15,1742.83,1745.9725
World,OWID_WRL,1995-07-15,1740.17,1746.6174
World,OWID_WRL,1995-08-15,1743.57,1747.4083
World,OWID_WRL,1995-09-15,1749.78,1747.9775
World,OWID_WRL,1995-10-15,1754.36,1748.3533
World,OWID_WRL,1995-11-15,1755.49,1748.7075
World,OWID_WRL,1995-12-15,1753.85,1748.8959
World,OWID_WRL,1996-01-15,1752.24,1748.9875
World,OWID_WRL,1996-02-15,1752.72,1749.2566
World,OWID_WRL,1996-03-15,1752.2,1749.5242
World,OWID_WRL,1996-04-15,1749.6,1749.5375
World,OWID_WRL,1996-05-15,1748.27,1749.59
World,OWID_WRL,1996-06-15,1746.03,1749.8567
World,OWID_WRL,1996-07-15,1742.05,1750.0133
World,OWID_WRL,1996-08-15,1744.24,1750.0692
World,OWID_WRL,1996-09-15,1752.59,1750.3033
World,OWID_WRL,1996-10-15,1758.88,1750.6799
World,OWID_WRL,1996-11-15,1760.02,1751.0575
World,OWID_WRL,1996-12-15,1756.9,1751.3116
World,OWID_WRL,1997-01-15,1753.4,1751.4083
World,OWID_WRL,1997-02-15,1753.85,1751.5024
World,OWID_WRL,1997-03-15,1755.66,1751.7909
World,OWID_WRL,1997-04-15,1755.54,1752.2859
World,OWID_WRL,1997-05-15,1753.83,1752.7491
World,OWID_WRL,1997-06-15,1750.13,1753.0908
World,OWID_WRL,1997-07-15,1746.14,1753.4316
World,OWID_WRL,1997-08-15,1747.87,1753.7341
World,OWID_WRL,1997-09-15,1755.02,1753.9366
World,OWID_WRL,1997-10-15,1760.26,1754.0516
World,OWID_WRL,1997-11-15,1761.68,1754.1901
World,OWID_WRL,1997-12-15,1761.9,1754.6067
World,OWID_WRL,1998-01-15,1761.46,1755.2783
World,OWID_WRL,1998-02-15,1761.42,1755.9092
World,OWID_WRL,1998-03-15,1762.94,1756.5159
World,OWID_WRL,1998-04-15,1764.72,1757.2809
World,OWID_WRL,1998-05-15,1764.23,1758.1475
World,OWID_WRL,1998-06-15,1760.33,1758.9976
World,OWID_WRL,1998-07-15,1756.17,1759.8334
World,OWID_WRL,1998-08-15,1760.18,1760.8591
World,OWID_WRL,1998-09-15,1770.66,1762.1625
World,OWID_WRL,1998-10-15,1776.25,1763.495
World,OWID_WRL,1998-11-15,1775.46,1764.6433
World,OWID_WRL,1998-12-15,1774.03,1765.6542
World,OWID_WRL,1999-01-15,1773.83,1766.685
World,OWID_WRL,1999-02-15,1773.91,1767.7258
World,OWID_WRL,1999-03-15,1774.61,1768.6984
World,OWID_WRL,1999-04-15,1775.02,1769.5566
World,OWID_WRL,1999-05-15,1772.7,1770.2625
World,OWID_WRL,1999-06-15,1767.37,1770.8491
World,OWID_WRL,1999-07-15,1762.99,1771.4175
World,OWID_WRL,1999-08-15,1764.65,1771.79
World,OWID_WRL,1999-09-15,1771.05,1771.8225
World,OWID_WRL,1999-10-15,1776.67,1771.8575
World,OWID_WRL,1999-11-15,1778.58,1772.1176
World,OWID_WRL,1999-12-15,1777.27,1772.3875
World,OWID_WRL,2000-01-15,1775.7,1772.5433
World,OWID_WRL,2000-02-15,1775.74,1772.6958
World,OWID_WRL,2000-03-15,1776.73,1772.8726
World,OWID_WRL,2000-04-15,1777.33,1773.065
World,OWID_WRL,2000-05-15,1774.61,1773.2241
World,OWID_WRL,2000-06-15,1768.16,1773.29
World,OWID_WRL,2000-07-15,1763.54,1773.3358
World,OWID_WRL,2000-08-15,1765.56,1773.4116
World,OWID_WRL,2000-09-15,1772.12,1773.5009
World,OWID_WRL,2000-10-15,1777.15,1773.5408
World,OWID_WRL,2000-11-15,1777.81,1773.4767
World,OWID_WRL,2000-12-15,1775.38,1773.3192
World,OWID_WRL,2001-01-15,1772.89,1773.085
World,OWID_WRL,2001-02-15,1772.51,1772.8158
World,OWID_WRL,2001-03-15,1773.65,1772.5592
World,OWID_WRL,2001-04-15,1773.89,1772.2725
World,OWID_WRL,2001-05-15,1770.87,1771.9608
World,OWID_WRL,2001-06-15,1766.1,1771.7892
World,OWID_WRL,2001-07-15,1763.04,1771.7476
World,OWID_WRL,2001-08-15,1764.49,1771.6583
World,OWID_WRL,2001-09-15,1770.45,1771.5192
World,OWID_WRL,2001-10-15,1775.51,1771.3826
World,OWID_WRL,2001-11-15,1776.55,1771.2775
World,OWID_WRL,2001-12-15,1775.92,1771.3225
World,OWID_WRL,2002-01-15,1774.12,1771.425
World,OWID_WRL,2002-02-15,1772.81,1771.45
World,OWID_WRL,2002-03-15,1773.4,1771.4292
World,OWID_WRL,2002-04-15,1772.77,1771.3358
World,OWID_WRL,2002-05-15,1770.29,1771.2875
World,OWID_WRL,2002-06-15,1766.9,1771.3542
World,OWID_WRL,2002-07-15,1764.23,1771.4534
World,OWID_WRL,2002-08-15,1766.84,1771.6492
World,OWID_WRL,2002-09-15,1773.67,1771.9175
World,OWID_WRL,2002-10-15,1778.28,1772.1483
World,OWID_WRL,2002-11-15,1779.48,1772.3926
World,OWID_WRL,2002-12-15,1779.64,1772.7025
World,OWID_WRL,2003-01-15,1777.55,1772.9884
World,OWID_WRL,2003-02-15,1774.81,1773.155
World,OWID_WRL,2003-03-15,1774.84,1773.275
World,OWID_WRL,2003-04-15,1775.82,1773.5292
World,OWID_WRL,2003-05-15,1774.44,1773.875
World,OWID_WRL,2003-06-15,1771.69,1774.2742
World,OWID_WRL,2003-07-15,1770.72,1774.815
World,OWID_WRL,2003-08-15,1774.28,1775.435
World,OWID_WRL,2003-09-15,1780.56,1776.0092
World,OWID_WRL,2003-10-15,1784.71,1776.545
World,OWID_WRL,2003-11-15,1785.26,1777.0266
World,OWID_WRL,2003-12-15,1783.56,1777.3533
World,OWID_WRL,2004-01-15,1780.92,1777.6342
World,OWID_WRL,2004-02-15,1779.96,1778.0634
World,OWID_WRL,2004-03-15,1780.98,1778.575
World,OWID_WRL,2004-04-15,1780.73,1778.9841
World,OWID_WRL,2004-05-15,1777.56,1779.2441
World,OWID_WRL,2004-06-15,1772.29,1779.2942
World,OWID_WRL,2004-07-15,1768.05,1779.0717
World,OWID_WRL,2004-08-15,1769.77,1778.6958
World,OWID_WRL,2004-09-15,1775.5,1778.2742
World,OWID_WRL,2004-10-15,1779.71,1777.8575
World,OWID_WRL,2004-11-15,1780.45,1777.4567
World,OWID_WRL,2004-12-15,1778.37,1777.0242
World,OWID_WRL,2005-01-15,1776.36,1776.6442
World,OWID_WRL,2005-02-15,1775.8,1776.2975
World,OWID_WRL,2005-03-15,1775.45,1775.8367
World,OWID_WRL,2005-04-15,1774.6,1775.3258
World,OWID_WRL,2005-05-15,1772.23,1774.8817
World,OWID_WRL,2005-06-15,1768.54,1774.5692
World,OWID_WRL,2005-07-15,1766.26,1774.42
World,OWID_WRL,2005-08-15,1768.01,1774.2733
World,OWID_WRL,2005-09-15,1773.09,1774.0725
World,OWID_WRL,2005-10-15,1778.5,1773.9717
World,OWID_WRL,2005-11-15,1781.21,1774.035
World,OWID_WRL,2005-12-15,1780.28,1774.1942
World,OWID_WRL,2006-01-15,1779.57,1774.4617
World,OWID_WRL,2006-02-15,1779.47,1774.7675
World,OWID_WRL,2006-03-15,1777.37,1774.9275
World,OWID_WRL,2006-04-15,1776.14,1775.0558
World,OWID_WRL,2006-05-15,1774.97,1775.2842
World,OWID_WRL,2006-06-15,1769.3,1775.3475
World,OWID_WRL,2006-07-15,1764.19,1775.175
World,OWID_WRL,2006-08-15,1767.19,1775.1067
World,OWID_WRL,2006-09-15,1774.55,1775.2283
World,OWID_WRL,2006-10-15,1778.25,1775.2075
World,OWID_WRL,2006-11-15,1779.05,1775.0275
World,OWID_WRL,2006-12-15,1779.93,1774.9983
World,OWID_WRL,2007-01-15,1779.18,1774.9658
World,OWID_WRL,2007-02-15,1778.57,1774.8909
World,OWID_WRL,2007-03-15,1780.28,1775.1333
World,OWID_WRL,2007-04-15,1781.12,1775.5483
World,OWID_WRL,2007-05-15,1779.42,1775.9192
World,OWID_WRL,2007-06-15,1775.61,1776.4451
World,OWID_WRL,2007-07-15,1772.62,1777.1475
World,OWID_WRL,2007-08-15,1777.18,1777.98
World,OWID_WRL,2007-09-15,1785.88,1778.9242
World,OWID_WRL,2007-10-15,1789.87,1779.8926
World,OWID_WRL,2007-11-15,1789.5,1780.7633
World,OWID_WRL,2007-12-15,1788.17,1781.45
World,OWID_WRL,2008-01-15,1786.72,1782.0784
World,OWID_WRL,2008-02-15,1785.79,1782.68
World,OWID_WRL,2008-03-15,1786.17,1783.1709
World,OWID_WRL,2008-04-15,1786.9,1783.6525
World,OWID_WRL,2008-05-15,1785.19,1784.1333
World,OWID_WRL,2008-06-15,1780.47,1784.5383
World,OWID_WRL,2008-07-15,1777.66,1784.9584
World,OWID_WRL,2008-08-15,1781.04,1785.28
World,OWID_WRL,2008-09-15,1787.66,1785.4283
World,OWID_WRL,2008-10-15,1793.69,1785.7467
World,OWID_WRL,2008-11-15,1797.29,1786.3959
World,OWID_WRL,2008-12-15,1796.59,1787.0975
World,OWID_WRL,2009-01-15,1795.08,1787.7942
World,OWID_WRL,2009-02-15,1795.59,1788.6108
World,OWID_WRL,2009-03-15,1795.97,1789.4275
World,OWID_WRL,2009-04-15,1795.56,1790.1492
World,OWID_WRL,2009-05-15,1792.34,1790.745
World,OWID_WRL,2009-06-15,1786.91,1791.2816
World,OWID_WRL,2009-07-15,1784.98,1791.8916
World,OWID_WRL,2009-08-15,1788.82,1792.54
World,OWID_WRL,2009-09-15,1794.82,1793.1366
World,OWID_WRL,2009-10-15,1798.06,1793.5009
World,OWID_WRL,2009-11-15,1797.88,1793.55
World,OWID_WRL,2009-12-15,1796.69,1793.5583
World,OWID_WRL,2010-01-15,1797.14,1793.73
World,OWID_WRL,2010-02-15,1798.76,1793.9941
World,OWID_WRL,2010-03-15,1799.46,1794.285
World,OWID_WRL,2010-04-15,1799.66,1794.6267
World,OWID_WRL,2010-05-15,1797.71,1795.0742
World,OWID_WRL,2010-06-15,1792.55,1795.5442
World,OWID_WRL,2010-07-15,1789.48,1795.9192
World,OWID_WRL,2010-08-15,1794.08,1796.3575
World,OWID_WRL,2010-09-15,1801.85,1796.9434
World,OWID_WRL,2010-10-15,1806.6,1797.655
World,OWID_WRL,2010-11-15,1806.99,1798.4142
World,OWID_WRL,2010-12-15,1803.31,1798.9658
World,OWID_WRL,2011-01-15,1800.07,1799.21
World,OWID_WRL,2011-02-15,1800,1799.3134
World,OWID_WRL,2011-03-15,1800.98,1799.44
World,OWID_WRL,2011-04-15,1802.91,1799.7108
World,OWID_WRL,2011-05-15,1803.3,1800.1766
World,OWID_WRL,2011-06-15,1799.16,1800.7275
World,OWID_WRL,2011-07-15,1796.21,1801.2883
World,OWID_WRL,2011-08-15,1799.04,1801.7017
World,OWID_WRL,2011-09-15,1804.07,1801.8867
World,OWID_WRL,2011-10-15,1809.61,1802.1375
World,OWID_WRL,2011-11-15,1812.38,1802.5867
World,OWID_WRL,2011-12-15,1810.04,1803.1475
World,OWID_WRL,2012-01-15,1807.41,1803.7592
World,OWID_WRL,2012-02-15,1808.35,1804.455
World,OWID_WRL,2012-03-15,1810.06,1805.2117
World,OWID_WRL,2012-04-15,1808.5,1805.6775
World,OWID_WRL,2012-05-15,1804.75,1805.7983
World,OWID_WRL,2012-06-15,1801.01,1805.9525
World,OWID_WRL,2012-07-15,1799.39,1806.2175
World,OWID_WRL,2012-08-15,1803.29,1806.5717
World,OWID_WRL,2012-09-15,1810.16,1807.0792
World,OWID_WRL,2012-10-15,1814.86,1807.5167
World,OWID_WRL,2012-11-15,1815.93,1807.8125
World,OWID_WRL,2012-12-15,1814.58,1808.1908
World,OWID_WRL,2013-01-15,1814.07,1808.7458
World,OWID_WRL,2013-02-15,1814.13,1809.2275
World,OWID_WRL,2013-03-15,1813.25,1809.4933
World,OWID_WRL,2013-04-15,1812.84,1809.855
World,OWID_WRL,2013-05-15,1811.94,1810.4541
World,OWID_WRL,2013-06-15,1808.57,1811.0841
World,OWID_WRL,2013-07-15,1805.79,1811.6174
World,OWID_WRL,2013-08-15,1808.38,1812.0416
World,OWID_WRL,2013-09-15,1814.32,1812.3883
World,OWID_WRL,2013-10-15,1818.61,1812.7008
World,OWID_WRL,2013-11-15,1820.34,1813.0684
World,OWID_WRL,2013-12-15,1819.32,1813.4633
World,OWID_WRL,2014-01-15,1816.86,1813.6958
World,OWID_WRL,2014-02-15,1816.39,1813.8842
World,OWID_WRL,2014-03-15,1818.13,1814.2908
World,OWID_WRL,2014-04-15,1820.91,1814.9634
World,OWID_WRL,2014-05-15,1821.9,1815.7933
World,OWID_WRL,2014-06-15,1818.33,1816.6067
World,OWID_WRL,2014-07-15,1815.55,1817.42
World,OWID_WRL,2014-08-15,1819.71,1818.3641
World,OWID_WRL,2014-09-15,1826.87,1819.41
World,OWID_WRL,2014-10-15,1831.25,1820.4634
World,OWID_WRL,2014-11-15,1833.04,1821.5217
World,OWID_WRL,2014-12-15,1833.54,1822.7067
World,OWID_WRL,2015-01-15,1833.1,1824.06
World,OWID_WRL,2015-02-15,1832.97,1825.4417
World,OWID_WRL,2015-03-15,1833.2,1826.6975
World,OWID_WRL,2015-04-15,1833.17,1827.7191
World,OWID_WRL,2015-05-15,1831.66,1828.5325
World,OWID_WRL,2015-06-15,1827.24,1829.275
World,OWID_WRL,2015-07-15,1824.71,1830.0383
World,OWID_WRL,2015-08-15,1829.15,1830.825
World,OWID_WRL,2015-09-15,1836.25,1831.6067
World,OWID_WRL,2015-10-15,1841.44,1832.4558
World,OWID_WRL,2015-11-15,1844.66,1833.4242
World,OWID_WRL,2015-12-15,1844.88,1834.3691
World,OWID_WRL,2016-01-15,1842.47,1835.15
World,OWID_WRL,2016-02-15,1841.62,1835.8708
World,OWID_WRL,2016-03-15,1843.01,1836.6884
World,OWID_WRL,2016-04-15,1843.76,1837.5708
World,OWID_WRL,2016-05-15,1842.12,1838.4425
World,OWID_WRL,2016-06-15,1837.83,1839.325
World,OWID_WRL,2016-07-15,1834.18,1840.1141
World,OWID_WRL,2016-08-15,1836.68,1840.7417
World,OWID_WRL,2016-09-15,1844.18,1841.4025
World,OWID_WRL,2016-10-15,1849.89,1842.1067
World,OWID_WRL,2016-11-15,1851.42,1842.67
World,OWID_WRL,2016-12-15,1851.04,1843.1833
World,OWID_WRL,2017-01-15,1849.7,1843.7859
World,OWID_WRL,2017-02-15,1848.38,1844.3491
World,OWID_WRL,2017-03-15,1848.18,1844.78
World,OWID_WRL,2017-04-15,1848.55,1845.1792
World,OWID_WRL,2017-05-15,1847.13,1845.5967
World,OWID_WRL,2017-06-15,1842.94,1846.0225
World,OWID_WRL,2017-07-15,1840.4,1846.5409
World,OWID_WRL,2017-08-15,1844.6,1847.2008
World,OWID_WRL,2017-09-15,1852.71,1847.9116
World,OWID_WRL,2017-10-15,1858,1848.5875
World,OWID_WRL,2017-11-15,1858.49,1849.1766
World,OWID_WRL,2017-12-15,1856.5,1849.6317
World,OWID_WRL,2018-01-15,1854.45,1850.0275
World,OWID_WRL,2018-02-15,1854.96,1850.5758
World,OWID_WRL,2018-03-15,1856.87,1851.3
World,OWID_WRL,2018-04-15,1856.7,1851.9791
World,OWID_WRL,2018-05-15,1854.8,1852.6183
World,OWID_WRL,2018-06-15,1852.01,1853.3741
World,OWID_WRL,2018-07-15,1849.11,1854.1
World,OWID_WRL,2018-08-15,1851.91,1854.7091
World,OWID_WRL,2018-09-15,1860.48,1855.3567
World,OWID_WRL,2018-10-15,1865.78,1856.005
World,OWID_WRL,2018-11-15,1866.25,1856.6516
World,OWID_WRL,2018-12-15,1866.03,1857.4458
World,OWID_WRL,2019-01-15,1865.01,1858.3258
World,OWID_WRL,2019-02-15,1865.01,1859.1633
World,OWID_WRL,2019-03-15,1866.32,1859.9508
World,OWID_WRL,2019-04-15,1865.33,1860.67
World,OWID_WRL,2019-05-15,1861.96,1861.2666
World,OWID_WRL,2019-06-15,1858.78,1861.8308
World,OWID_WRL,2019-07-15,1858.25,1862.5925
World,OWID_WRL,2019-08-15,1862.89,1863.5074
World,OWID_WRL,2019-09-15,1870.78,1864.3658
World,OWID_WRL,2019-10-15,1875.41,1865.1683
World,OWID_WRL,2019-11-15,1875.54,1865.9425
World,OWID_WRL,2019-12-15,1874.67,1866.6625
World,OWID_WRL,2020-01-15,1873.18,1867.3434
World,OWID_WRL,2020-02-15,1872.73,1867.9867
World,OWID_WRL,2020-03-15,1874.76,1868.6901
World,OWID_WRL,2020-04-15,1875.88,1869.5692
World,OWID_WRL,2020-05-15,1874.3,1870.5975
World,OWID_WRL,2020-06-15,1871.86,1871.6875
World,OWID_WRL,2020-07-15,1871.51,1872.7925
World,OWID_WRL,2020-08-15,1876.52,1873.9283
World,OWID_WRL,2020-09-15,1884.67,1875.0858
World,OWID_WRL,2020-10-15,1890.12,1876.3116
World,OWID_WRL,2020-11-15,1891.91,1877.6759
World,OWID_WRL,2020-12-15,1891.77,1879.1008
World,OWID_WRL,2021-01-15,1889.49,1880.46
World,OWID_WRL,2021-02-15,1887.53,1881.6934
World,OWID_WRL,2021-03-15,1888.66,1882.8517
World,OWID_WRL,2021-04-15,1891.09,1884.1191
World,OWID_WRL,2021-05-15,1891.51,1885.5533
World,OWID_WRL,2021-06-15,1888.46,1886.9366
World,OWID_WRL,2021-07-15,1886.38,1888.1758
World,OWID_WRL,2021-08-15,1892.59,1889.515
World,OWID_WRL,2021-09-15,1902.65,1891.0133
World,OWID_WRL,2021-10-15,1908.03,1892.5059
World,OWID_WRL,2021-11-15,1909.49,1893.9708
World,OWID_WRL,2021-12-15,1908.77,1895.3875
World,OWID_WRL,2022-01-15,1907.47,1896.8859
World,OWID_WRL,2022-02-15,1907.68,1898.565
World,OWID_WRL,2022-03-15,1909.01,1900.2609
World,OWID_WRL,2022-04-15,1909.6,1901.8033
World,OWID_WRL,2022-05-15,1907.82,1903.1625
World,OWID_WRL,2022-06-15,1905.2,1904.5575
World,OWID_WRL,2022-07-15,1904.47,1906.065
World,OWID_WRL,2022-08-15,1908.84,1907.4192
World,OWID_WRL,2022-09-15,1915.57,1908.4958
World,OWID_WRL,2022-10-15,1919.83,1909.4791
World,OWID_WRL,2022-11-15,1922.8,1910.5884
World,OWID_WRL,2022-12-15,1923.37,1911.8049
World,OWID_WRL,2023-01-15,1921.59,1912.9817
World,OWID_WRL,2023-02-15,1920.27,1914.0308
World,OWID_WRL,2023-03-15,1919.7,1914.9216
World,OWID_WRL,2023-04-15,1920.69,1915.8458
World,OWID_WRL,2023-05-15,1920.09,1916.8683
World,OWID_WRL,2023-06-15,1915.72,1917.745
World,OWID_WRL,2023-07-15,1913.6,1918.5059
World,OWID_WRL,2023-08-15,1917.63,1919.2383
World,OWID_WRL,2023-09-15,1925.37,1920.0549
World,OWID_WRL,2023-10-15,1931.02,1920.9875
World,OWID_WRL,2023-11-15,1932.24,1921.7742
World,OWID_WRL,2023-12-15,1931.83,1922.4791
World,OWID_WRL,2024-01-15,1929.57,1923.1442
World,OWID_WRL,2024-02-15,1927.58,1923.7533
World,OWID_WRL,2024-03-15,1928.97,1924.5258
World,OWID_WRL,2024-04-15,1930.29,1925.3258
World,OWID_WRL,2024-05-15,1926.93,1925.8959
World,OWID_WRL,2024-06-15,1922.1,1926.4275
World,OWID_WRL,2024-07-15,1921.33,1927.0717